name,price,brand,specs,company,reviewID,score
"['Tecno', 'Spark']","Rs. 15,999",No Brand,4GB 64GB Dual Sim,vivo,168,-
"Itel S23 ,","Rs. 30,499",No Brand,"10C , 4GB +",Tecno,169,4.5
"['Tecno', 'Spark']","Rs. 37,999",No Brand,10 Pro RAM 8,Tecno,170,4.8
"['Xiaomi', 'Poco']","Rs. 32,999",No Brand,", 8GB RAM 256GB",Itel,171,1.0
"['Tecno', 'Camon']","Rs. 39,999",Tecno,10 Pro || 8GB,Tecno,172,4.6
"['Infinix', 'Note']","Rs. 110,999",No Brand,X5 Pro 5G ||,Xiaomi,173,5.0
"['Redmi', 'Note']","Rs. 47,999",Tecno,"20 , 8GB RAM",Tecno,174,5.0
"['INFINIX', 'NOTE']","Rs. 63,899",Infinix,30 Pro - 6.67,Infinix,175,5.0
"['Xiaomi', 'Redmi']","Rs. 88,999",Redmi,12 Pro - 8GB,Redmi,176,4.8
"['Tecno', 'Spark']","Rs. 47,499",Infinix,30 - 8GB+8GB =16GB,INFINIX,177,4.8
"['Samsung', 'Galaxy']","Rs. 95,000",Redmi,Note 12 Pro RAM,Xiaomi,178,5.0
"['Sparx', 'Neo']","Rs. 25,999",Tecno,"Go 2023 , 4GB",Tecno,179,4.7
"['Infinix', 'Note']","Rs. 139,999",Samsung,A54 5G || 8GB+8GB,Samsung,180,5.0
"Vivo Y17s ,","Rs. 34,999",No Brand,7 Ultra 128GB ROM,Sparx,181,-
Xiaomi 13T ||,"Rs. 47,980",No Brand,30 RAM 8 GB,Infinix,182,4.9
"['Redmi', 'A2']","Rs. 45,999",No Brand,", 6GB Ram 128GB",Vivo,183,-
"['Xiaomi', 'Poco']","Rs. 169,999",Redmi,|| 12GB Ram 256GB,Xiaomi,184,-
"['Redmi', 'Note']","Rs. 22,499",No Brand,"Plus , 3GB Ram",Redmi,185,5.0
"['Vgotel', 'New']","Rs. 109,999",Redmi,X5 Pro 5G ||,Xiaomi,186,-
"['Infinix', 'Hot']","Rs. 61,499",Redmi,12 || 8GB Ram,Redmi,187,4.4
"['Redmi', 'Note']","Rs. 16,999",VGOTEL,12 - 2GB RAM,Vgotel,188,-
"['Infinix', 'Hot']","Rs. 31,999",Infinix,"30 Play , 4GB",Infinix,189,5.0
"['HONOR', 'X6']","Rs. 51,299",Redmi,"12 - 6.67"" Inch",Redmi,190,4.1
"['Infinix', 'Smart']","Rs. 29,899",Infinix,"30 Play - 6.82""",Infinix,191,4.5
"['Tecno', 'Camon']","Rs. 32,499",Honor,"Mobile Phone, 6.5 Inch",HONOR,192,4.8
"['itel', 'S23']","Rs. 25,999",No Brand,7 || 4GB +,Infinix,193,4.8
"Realme C33 ,","Rs. 46,999",Tecno,20 - 8GB+8GB Ram,Tecno,194,5.0
INFINIX SMART 7,"Rs. 30,999",itel,6.6″ HD+ Display |,itel,195,4.6
"['Infinix', 'Hot']","Rs. 30,999",Realme,", 4GB RAM 64GB",Realme,196,4.4
Realme C51 RAM,"Rs. 25,399",No Brand,7 4GB RAM 64GB,INFINIX,197,5.0
Xiaomi 13T Pro,"Rs. 29,980",No Brand,30 Play RAM 4,Infinix,198,4.7
samsang Note 8,"Rs. 34,990",No Brand,RAM 4GB ROM 64GB,Realme,199,-
Infinix smart,"Rs. 227,999",Xiaomi,Pro (12GB-512GB) PTA Approved,Xiaomi,200,5.0
